Date,Name,Year,Letterboxd URI,Rating
2017-07-15,A Lullaby to the Sorrowful Mystery,2016,https://letterboxd.com/film/a-lullaby-to-the-sorrowful-mystery/,3
2017-07-15,The Woman Who Left,2016,https://letterboxd.com/film/the-woman-who-left/,3.5
2017-07-15,Next of Kin,1984,https://letterboxd.com/film/next-of-kin-1984/,3
2017-07-15,"New York Portrait, Chapter I",1979,https://letterboxd.com/film/new-york-portrait-chapter-i/,4
2017-07-15,Certain Women,2016,https://letterboxd.com/film/certain-women/,4.5
2017-07-15,Blood of My Blood,2015,https://letterboxd.com/film/blood-of-my-blood-2015/,3.5
2017-07-15,Pagliacci,2016,https://letterboxd.com/film/pagliacci-2016/,3.5
2017-07-15,Illuminated Texts,1982,https://letterboxd.com/film/illuminated-texts/,4.5
2017-07-15,The Old Dark House,1932,https://letterboxd.com/film/the-old-dark-house/,3.5
2017-07-15,Infunde Lumen Cordibus,2004,https://letterboxd.com/film/infunde-lumen-cordibus/,3
2017-07-15,Sweet Love Remembered,1980,https://letterboxd.com/film/sweet-love-remembered/,3.5
2017-07-15,Trace,1980,https://letterboxd.com/film/trace-1980/,3
2017-07-15,Look! We Have Come Through!,1978,https://letterboxd.com/film/look-we-have-come-through/,3.5
2017-07-15,She Is Away,1976,https://letterboxd.com/film/she-is-away/,3
2017-07-15,Permutations and Combinations,1976,https://letterboxd.com/film/permutations-and-combinations/,3.5
2017-07-15,Barbara is a Vision of Loveliness,1976,https://letterboxd.com/film/barbara-is-a-vision-of-loveliness/,3.5
2017-07-15,1857 (Fool's Gold),1981,https://letterboxd.com/film/1857-fools-gold/,3.5
2017-07-15,The Art of Worldly Wisdom,1979,https://letterboxd.com/film/the-art-of-worldly-wisdom/,4
2017-07-15,Breath/Light/Birth,1975,https://letterboxd.com/film/breath-light-birth/,4
2017-07-15,Personal Shopper,2016,https://letterboxd.com/film/personal-shopper/,3
2017-07-15,The Invisible Collection,2009,https://letterboxd.com/film/the-invisible-collection-2009/,3.5
2017-07-15,A Thousand Suns,2013,https://letterboxd.com/film/a-thousand-suns-2013/,3.5
2017-07-15,The Conquest of Faro,2005,https://letterboxd.com/film/the-conquest-of-faro/,3.5
2017-07-15,The 15th Stone,2007,https://letterboxd.com/film/the-15th-stone/,3.5
2017-07-15,The Good Love,1963,https://letterboxd.com/film/the-good-love/,3.5
2017-07-15,The Lion Hunters,1967,https://letterboxd.com/film/the-lion-hunters/,3.5
2017-07-15,Antichrist,2009,https://letterboxd.com/film/antichrist/,1.5
2017-07-15,Alyonka,1962,https://letterboxd.com/film/alyonka/,4
2017-07-15,We Make Couples,2016,https://letterboxd.com/film/we-make-couples/,3.5
2017-07-15,Twice a Man,1963,https://letterboxd.com/film/twice-a-man/,4
2017-07-15,The Sound of the Shaking Earth,1990,https://letterboxd.com/film/the-sound-of-the-shaking-earth/,4.5
2017-07-15,S21: The Khmer Rouge Killing Machine,2003,https://letterboxd.com/film/s21-the-khmer-rouge-killing-machine/,3.5
2017-07-15,The Lost City of Z,2016,https://letterboxd.com/film/the-lost-city-of-z/,4
2017-07-15,The Good Fairy,1935,https://letterboxd.com/film/the-good-fairy/,4
2017-07-15,The Hour of the Furnaces,1968,https://letterboxd.com/film/the-hour-of-the-furnaces/,3.5
2017-07-15,The Mad Masters,1955,https://letterboxd.com/film/the-mad-masters/,4
2017-07-15,Jaguar,1968,https://letterboxd.com/film/jaguar-1968/,3.5
2017-07-15,Maioria Absoluta,1964,https://letterboxd.com/film/maioria-absoluta/,3
2017-07-15,Little Fugitive,1953,https://letterboxd.com/film/little-fugitive-1953/,4
2017-07-15,Barbary Coast,1935,https://letterboxd.com/film/barbary-coast/,4
2017-07-15,State of the Union,1948,https://letterboxd.com/film/state-of-the-union/,3
2017-07-15,After the Storm,2016,https://letterboxd.com/film/after-the-storm-2016/,2.5
2017-07-15,An Ideal Husband,1947,https://letterboxd.com/film/an-ideal-husband/,3.5
2017-07-15,The Wedding Night,1935,https://letterboxd.com/film/the-wedding-night/,4
2017-07-15,I'd Climb the Highest Mountain,1951,https://letterboxd.com/film/id-climb-the-highest-mountain/,3.5
2017-07-15,Water for Maya,2000,https://letterboxd.com/film/water-for-maya/,4
2017-07-15,Chumlum,1963,https://letterboxd.com/film/chumlum/,3
2017-07-15,Lifelines,1960,https://letterboxd.com/film/lifelines-1960/,3.5
2017-07-15,Cat's Cradle,1959,https://letterboxd.com/film/cats-cradle-1959/,4
2017-07-15,Bridges-Go-Round,1958,https://letterboxd.com/film/bridges-go-round/,4
2017-07-15,The Potted Psalm,1946,https://letterboxd.com/film/the-potted-psalm/,3.5
2017-07-15,Visual Variations on Noguchi,1945,https://letterboxd.com/film/visual-variations-on-noguchi/,3
2017-07-15,The Last Bolshevik,1993,https://letterboxd.com/film/the-last-bolshevik/,4
2017-07-15,The Idea of a Lake,2016,https://letterboxd.com/film/the-idea-of-a-lake/,3.5
2017-07-15,Divine Horsemen: The Living Gods of Haiti,1977,https://letterboxd.com/film/divine-horsemen-the-living-gods-of-haiti/,3.5
2017-07-15,Witch's Cradle,1944,https://letterboxd.com/film/witchs-cradle/,4
2017-07-15,A Study in Choreography for Camera,1945,https://letterboxd.com/film/a-study-in-choreography-for-camera/,3.5
2017-07-15,Ritual in Transfigured Time,1946,https://letterboxd.com/film/ritual-in-transfigured-time/,4
2017-07-15,The Very Eye of Night,1955,https://letterboxd.com/film/the-very-eye-of-night/,3.5
2017-07-15,Yourself and Yours,2016,https://letterboxd.com/film/yourself-and-yours/,4
2017-07-15,The Clay Pigeon,1949,https://letterboxd.com/film/the-clay-pigeon/,3
2017-07-15,Alice Adams,1935,https://letterboxd.com/film/alice-adams/,3
2017-07-15,Days of Hope,1945,https://letterboxd.com/film/days-of-hope/,4
2017-07-15,Mr. Klein,1976,https://letterboxd.com/film/mr-klein/,3
2017-07-15,The Last Wagon,1956,https://letterboxd.com/film/the-last-wagon/,3.5
2017-07-15,Sexperiencias,1968,https://letterboxd.com/film/sexperiencias/,4
2017-07-15,Christopher Strong,1933,https://letterboxd.com/film/christopher-strong/,4
2017-07-15,Love Under the Crucifix,1962,https://letterboxd.com/film/love-under-the-crucifix/,4
2017-07-15,The Criminal Code,1930,https://letterboxd.com/film/the-criminal-code/,4
2017-07-15,Echoes of Silence,1965,https://letterboxd.com/film/echoes-of-silence/,5
2017-07-15,Husband and Wife,1953,https://letterboxd.com/film/husband-and-wife/,4
2017-07-15,Western Union,1941,https://letterboxd.com/film/western-union/,3.5
2017-07-15,Crisis in Six Scenes,2016,https://letterboxd.com/film/crisis-in-six-scenes/,2.5
2017-07-15,"The Trouble with 2b: Part Six, Blackboard Jungle",1972,https://letterboxd.com/film/the-trouble-with-2b-part-six-blackboard-jungle/,3.5
2017-07-15,Pitfall,1962,https://letterboxd.com/film/pitfall-1962/,3.5
2017-07-15,The Breaking Point,1950,https://letterboxd.com/film/the-breaking-point/,4
2017-07-15,Los ojos dejan huellas,1952,https://letterboxd.com/film/los-ojos-dejan-huellas/,3.5
2017-07-15,The Other Side of Hope,2017,https://letterboxd.com/film/the-other-side-of-hope/,4
2017-07-15,He Walked by Night,1948,https://letterboxd.com/film/he-walked-by-night/,3
2017-07-15,Random Harvest,1942,https://letterboxd.com/film/random-harvest/,3.5
2017-07-15,Nocturama,2016,https://letterboxd.com/film/nocturama/,2.5
2017-07-15,A Touch of Zen,1971,https://letterboxd.com/film/a-touch-of-zen/,4
2017-07-15,The Hourglass Sanatorium,1973,https://letterboxd.com/film/the-hourglass-sanatorium/,3
2017-07-15,Flames,1978,https://letterboxd.com/film/flames-1978/,4.5
2017-07-15,Tam Tam,1976,https://letterboxd.com/film/tam-tam/,4
2017-07-15,Breakaway,1967,https://letterboxd.com/film/breakaway-1967/,4
2017-07-15,Three Screen Ray,2006,https://letterboxd.com/film/three-screen-ray/,4
2017-07-15,Cosmic Ray,1962,https://letterboxd.com/film/cosmic-ray/,4
2017-07-15,Looking for Mushrooms,1967,https://letterboxd.com/film/looking-for-mushrooms/,4
2017-07-15,Aquarius,2016,https://letterboxd.com/film/aquarius/,2
2017-07-15,A Glass of Whiskey,1959,https://letterboxd.com/film/a-glass-of-whiskey/,3
2017-07-15,Happy End,1967,https://letterboxd.com/film/happy-end-1967/,3.5
2017-07-15,Dragon Ball: Curse of the Blood Rubies,1986,https://letterboxd.com/film/dragon-ball-curse-of-the-blood-rubies/,2.5
2017-07-15,The Constant Factor,1980,https://letterboxd.com/film/the-constant-factor/,3
2017-07-15,Two in the Wave,2010,https://letterboxd.com/film/two-in-the-wave/,3
2017-07-15,Toutes les nuits,2001,https://letterboxd.com/film/toutes-les-nuits/,4.5
2017-07-15,Thérèse Raquin,1953,https://letterboxd.com/film/therese-raquin-1953/,3.5
2017-07-15,Kika,1993,https://letterboxd.com/film/kika/,3
2017-07-15,Matador,1986,https://letterboxd.com/film/matador/,3
2017-07-15,Raw,2016,https://letterboxd.com/film/raw-2016/,3.5
2017-07-15,31,2016,https://letterboxd.com/film/31-2016/,2
2017-07-15,South,1999,https://letterboxd.com/film/south-1999/,3.5
2017-07-15,Criminal Court,1946,https://letterboxd.com/film/criminal-court/,2.5
2017-07-15,Libeled Lady,1936,https://letterboxd.com/film/libeled-lady/,3
2017-07-15,Looking for Mushrooms,1996,https://letterboxd.com/film/looking-for-mushrooms-1996/,4
2017-07-15,Crossroads,1976,https://letterboxd.com/film/crossroads-1976/,4.5
2017-07-15,Report,1965,https://letterboxd.com/film/report/,4.5
2017-07-15,A Movie,1958,https://letterboxd.com/film/a-movie/,4
2017-07-15,So Big,1953,https://letterboxd.com/film/so-big/,4
2017-07-15,Magnificent Obsession,1954,https://letterboxd.com/film/magnificent-obsession-1954/,4
2017-07-15,Fireworks,1947,https://letterboxd.com/film/fireworks/,4
2017-07-15,The Man with the Suitcase,1983,https://letterboxd.com/film/the-man-with-the-suitcase/,4
2017-07-15,The Eighties,1983,https://letterboxd.com/film/the-eighties/,4
2017-07-15,A Flirtatious Woman,1955,https://letterboxd.com/film/a-flirtatious-woman/,3.5
2017-07-15,Golden Eighties,1986,https://letterboxd.com/film/golden-eighties/,4.5
2017-07-15,Moby Dick,1956,https://letterboxd.com/film/moby-dick/,4
2017-07-15,Born in Flames,1983,https://letterboxd.com/film/born-in-flames/,4
2017-07-15,Working Girls,1986,https://letterboxd.com/film/working-girls-1986/,4
2017-07-15,Moonlight,2016,https://letterboxd.com/film/moonlight-2016/,3.5
2017-07-15,Diamond Jim,1935,https://letterboxd.com/film/diamond-jim/,3.5
2017-07-15,Manchester by the Sea,2016,https://letterboxd.com/film/manchester-by-the-sea/,3
2017-07-15,A Portrait of Ga,1952,https://letterboxd.com/film/a-portrait-of-ga/,4
2017-07-15,Violent Saturday,1955,https://letterboxd.com/film/violent-saturday/,3.5
2017-07-15,Winter,1969,https://letterboxd.com/film/winter-1969/,4
2017-07-15,Split,2016,https://letterboxd.com/film/split-2016/,2
2017-07-15,Ghost Ship,2016,https://letterboxd.com/film/ghost-ship-2016/,3
2017-07-15,Días color naranja,2016,https://letterboxd.com/film/dias-color-naranja/,3.5
2017-07-15,Seven Days in May,1964,https://letterboxd.com/film/seven-days-in-may/,3.5
2017-07-15,A King in New York,1957,https://letterboxd.com/film/a-king-in-new-york/,3
2017-07-15,Here and Elsewhere,1976,https://letterboxd.com/film/here-and-elsewhere/,4.5
2017-07-15,Cleopatra,1934,https://letterboxd.com/film/cleopatra-1934/,3.5
2017-07-15,Blood and Sand,1941,https://letterboxd.com/film/blood-and-sand/,3
2017-07-15,Insaisissable Image,2007,https://letterboxd.com/film/insaisissable-image/,3.5
2017-07-15,Reap the Wild Wind,1942,https://letterboxd.com/film/reap-the-wild-wind/,3.5
2017-07-15,Union Pacific,1939,https://letterboxd.com/film/union-pacific/,3.5
2017-07-15,Unconquered,1947,https://letterboxd.com/film/unconquered/,4
2017-07-15,California,1947,https://letterboxd.com/film/california-1947/,3.5
2017-07-15,La La Land,2016,https://letterboxd.com/film/la-la-land/,2.5
2017-07-15,"Le retour, Place de l'Etoile",1899,https://letterboxd.com/film/le-retour-place-de-letoile/,3.5
2017-07-15,The Sorcerer's Apprentice,2010,https://letterboxd.com/film/the-sorcerers-apprentice-2010/,3.5
2017-07-15,Série noire,1979,https://letterboxd.com/film/serie-noire/,3.5
2017-07-15,Follow Me Quietly,1949,https://letterboxd.com/film/follow-me-quietly/,3.5
2017-07-15,Six in Paris,1965,https://letterboxd.com/film/six-in-paris/,3.5
2017-07-15,Frantz,2016,https://letterboxd.com/film/frantz/,2.5
2017-07-15,Count the Hours,1953,https://letterboxd.com/film/count-the-hours/,3.5
2017-07-15,Florence Foster Jenkins,2016,https://letterboxd.com/film/florence-foster-jenkins/,2.5
2017-07-15,Impact,1949,https://letterboxd.com/film/impact/,3
2017-07-15,The Hatchet Man,1932,https://letterboxd.com/film/the-hatchet-man/,3.5
2017-07-15,The World Moves On,1934,https://letterboxd.com/film/the-world-moves-on/,3.5
2017-07-15,Amijima,2016,https://letterboxd.com/film/amijima/,3.5
2017-07-15,Strike,1925,https://letterboxd.com/film/strike/,4
2017-07-15,I'll Be Seeing You,1944,https://letterboxd.com/film/ill-be-seeing-you/,4
2017-07-15,Jealousy,2013,https://letterboxd.com/film/jealousy-2013/,4.5
2017-07-15,I Want to Go Home,1989,https://letterboxd.com/film/i-want-to-go-home/,3
2017-07-15,The Phantom of the Opera,1925,https://letterboxd.com/film/the-phantom-of-the-opera/,4
2017-07-15,Eva,1962,https://letterboxd.com/film/eva-1962/,3
2017-07-15,Good Sam,1948,https://letterboxd.com/film/good-sam/,2.5
2017-07-15,Little Women,1933,https://letterboxd.com/film/little-women/,4
2017-07-15,The Bishop's Wife,1947,https://letterboxd.com/film/the-bishops-wife/,2.5
2017-07-15,Come and Get It,1936,https://letterboxd.com/film/come-and-get-it/,4
2017-07-15,Whiplash,2014,https://letterboxd.com/film/whiplash-2014/,1.5
2017-07-15,Nobody Lives Forever,1946,https://letterboxd.com/film/nobody-lives-forever/,3.5
2017-07-15,A Dangerous Profession,1949,https://letterboxd.com/film/a-dangerous-profession/,2.5
2017-07-15,A Bill of Divorcement,1932,https://letterboxd.com/film/a-bill-of-divorcement/,3.5
2017-07-15,The Love Parade,1929,https://letterboxd.com/film/the-love-parade/,3.5
2017-07-15,The Prisoner of Shark Island,1936,https://letterboxd.com/film/the-prisoner-of-shark-island/,4
2017-07-15,The Big Parade,1925,https://letterboxd.com/film/the-big-parade/,3
2017-07-15,The Consequences of Feminism,1906,https://letterboxd.com/film/the-consequences-of-feminism/,3
2017-07-15,Ismail Yassine in the House of Ghosts,1952,https://letterboxd.com/film/ismail-yassine-in-the-house-of-ghosts/,3
2017-07-15,Mother,1926,https://letterboxd.com/film/mother-1926/,4
2017-07-15,Live to Live,2015,https://letterboxd.com/film/live-to-live/,4
2017-07-15,Footnotes to a House of Love,2007,https://letterboxd.com/film/footnotes-to-a-house-of-love/,4
2017-07-15,Wuthering Heights,1939,https://letterboxd.com/film/wuthering-heights/,3.5
2017-07-15,Stranger on the Third Floor,1940,https://letterboxd.com/film/stranger-on-the-third-floor/,3
2017-07-15,3 Bad Men,1926,https://letterboxd.com/film/3-bad-men/,3.5
2017-07-15,Circle of Danger,1951,https://letterboxd.com/film/circle-of-danger/,3.5
2017-07-15,Wuthering Heights,1954,https://letterboxd.com/film/wuthering-heights-1954/,4
2017-07-15,Diary of a Lost Girl,1929,https://letterboxd.com/film/diary-of-a-lost-girl/,4
2017-07-15,The Warriors,1979,https://letterboxd.com/film/the-warriors/,2.5
2017-07-15,I Don't Want to Be a Man,1918,https://letterboxd.com/film/i-dont-want-to-be-a-man/,3.5
2017-07-15,A Royal Scandal,1945,https://letterboxd.com/film/a-royal-scandal/,3
2017-07-15,One from the Heart,1981,https://letterboxd.com/film/one-from-the-heart/,3
2017-07-15,Paterson,2016,https://letterboxd.com/film/paterson/,4
2017-07-15,Business is Business,1971,https://letterboxd.com/film/business-is-business/,2.5
2017-07-15,Our Betters,1933,https://letterboxd.com/film/our-betters/,4
2017-07-15,Arrowsmith,1931,https://letterboxd.com/film/arrowsmith/,3.5
2017-07-15,A Page of Madness,1926,https://letterboxd.com/film/a-page-of-madness/,3.5
2017-07-15,Lady in the Lake,1946,https://letterboxd.com/film/lady-in-the-lake/,3
2017-07-15,Fragile as the World,2001,https://letterboxd.com/film/fragile-as-the-world/,4
2017-07-15,Stranger on Horseback,1955,https://letterboxd.com/film/stranger-on-horseback/,3
2017-07-15,Be Pretty and Shut Up!,1981,https://letterboxd.com/film/be-pretty-and-shut-up/,4
2017-07-15,Loose Cannons,1990,https://letterboxd.com/film/loose-cannons/,1.5
2017-07-15,They Won't Forget,1937,https://letterboxd.com/film/they-wont-forget/,3.5
2017-07-15,Out 1,1971,https://letterboxd.com/film/out-1/,5
2017-07-15,Illusion Travels by Streetcar,1954,https://letterboxd.com/film/illusion-travels-by-streetcar/,3.5
2017-07-15,Out of the Fog,1941,https://letterboxd.com/film/out-of-the-fog/,3.5
2017-07-15,Katie Tippel,1975,https://letterboxd.com/film/katie-tippel/,4
2017-07-15,The Devil Is a Woman,1935,https://letterboxd.com/film/the-devil-is-a-woman/,3.5
2017-07-15,Tokyo Drifter,1966,https://letterboxd.com/film/tokyo-drifter/,3.5
2017-07-15,Queen Kelly,1929,https://letterboxd.com/film/queen-kelly/,4.5
2017-07-15,This Earth Is Mine,1959,https://letterboxd.com/film/this-earth-is-mine/,3
2017-07-15,Nocturnal Animals,2016,https://letterboxd.com/film/nocturnal-animals/,3.5
2017-07-15,Coffee and Cigarettes II,1989,https://letterboxd.com/film/coffee-and-cigarettes-ii/,3.5
2017-07-15,Coffee and Cigarettes,1986,https://letterboxd.com/film/coffee-and-cigarettes/,3.5
2017-07-15,Arrival,2016,https://letterboxd.com/film/arrival-2016/,3
2017-07-15,Kaili Blues,2015,https://letterboxd.com/film/kaili-blues/,2.5
2017-07-15,The Hedonists,2016,https://letterboxd.com/film/the-hedonists/,3
2017-07-15,The Death of Louis XIV,2016,https://letterboxd.com/film/the-death-of-louis-xiv/,3.5
2017-07-15,Midnight Special,2016,https://letterboxd.com/film/midnight-special/,3.5
2017-07-15,Four Winds Island Part One Shadows in the Wood,1961,https://letterboxd.com/film/four-winds-island-part-one-shadows-in-the-wood/,3.5
2017-07-15,Sully,2016,https://letterboxd.com/film/sully/,4
2017-07-15,Stage Door Canteen,1943,https://letterboxd.com/film/stage-door-canteen/,3
2017-07-15,Concerning Venice,2014,https://letterboxd.com/film/concerning-venice/,3
2017-07-15,Heir To An Execution,2004,https://letterboxd.com/film/heir-to-an-execution/,3.5
2017-07-15,Itinéraire de Jean Bricard,2008,https://letterboxd.com/film/itineraire-de-jean-bricard/,3.5
2017-07-15,L'Aquarium et la Nation,2015,https://letterboxd.com/film/laquarium-et-la-nation/,3.5
2017-07-15,The Last Days of Disco,1998,https://letterboxd.com/film/the-last-days-of-disco/,4
2017-07-15,Thief,1981,https://letterboxd.com/film/thief/,3.5
2017-07-15,Dialogue of Shadows,2013,https://letterboxd.com/film/dialogue-of-shadows/,3.5
2017-07-15,Un Conte de Michel de Montaigne,2013,https://letterboxd.com/film/un-conte-de-michel-de-montaigne/,3
2017-07-15,L'arrotino,2001,https://letterboxd.com/film/larrotino/,3.5
2017-07-15,Il viandante,2001,https://letterboxd.com/film/il-viandante/,3.5
2017-07-15,Top Hat,1935,https://letterboxd.com/film/top-hat/,3.5
2017-07-15,A Proposition in Four Parts,1985,https://letterboxd.com/film/a-proposition-in-four-parts/,3.5
2017-07-15,The Return of the Prodigal Son/Humiliated,2003,https://letterboxd.com/film/the-return-of-the-prodigal-son-humiliated/,4.5
2017-07-15,Dolando,2002,https://letterboxd.com/film/dolando/,3
2017-07-15,Barcelona,1994,https://letterboxd.com/film/barcelona/,3.5
2017-07-15,The Winsome Widow,1973,https://letterboxd.com/film/the-winsome-widow/,3
2017-07-15,La Madre,2012,https://letterboxd.com/film/la-madre-2012/,3
2017-07-15,Artemis' Knee,2008,https://letterboxd.com/film/artemis-knee/,3.5
2017-07-15,O somma luce,2011,https://letterboxd.com/film/o-somma-luce/,3
2017-07-15,Corneille-Brecht ou Rome l'unique objet de mon ressentiment,2009,https://letterboxd.com/film/corneille-brecht-ou-rome-lunique-objet-de-mon-ressentiment/,3
2017-07-15,Europa 2005 - 27 octobre,2006,https://letterboxd.com/film/europa-2005-27-octobre/,3
2017-07-15,These Encounters of Theirs,2006,https://letterboxd.com/film/these-encounters-of-theirs/,4
2017-07-15,Exile,2016,https://letterboxd.com/film/exile-2016/,3.5
2017-07-15,Love & Friendship,2016,https://letterboxd.com/film/love-friendship/,4
2017-07-15,It's Only the End of the World,2016,https://letterboxd.com/film/its-only-the-end-of-the-world/,1.5
2017-07-15,American Honey,2016,https://letterboxd.com/film/american-honey/,2
2017-07-15,The Dreamed Path,2016,https://letterboxd.com/film/the-dreamed-path/,3
2017-07-15,The Park,2016,https://letterboxd.com/film/the-park-2016/,4
2017-07-15,Staying Vertical,2016,https://letterboxd.com/film/staying-vertical/,4
2017-07-15,Sleeping Beauty,2016,https://letterboxd.com/film/sleeping-beauty-2016/,3.5
2017-07-15,My Journey Through French Cinema,2016,https://letterboxd.com/film/my-journey-through-french-cinema/,3.5
2017-07-15,The Son of Joseph,2016,https://letterboxd.com/film/the-son-of-joseph/,4
2017-07-15,Correspondences,2016,https://letterboxd.com/film/correspondences/,4.5
2017-07-15,The Dunce,2016,https://letterboxd.com/film/the-dunce/,3.5
2017-07-15,Ikarie XB 1,1963,https://letterboxd.com/film/ikarie-xb-1/,3
2017-07-15,Dogs,2016,https://letterboxd.com/film/dogs-2016/,2.5
2017-07-15,The Student,2016,https://letterboxd.com/film/the-student-2016/,2
2017-07-15,From Today Until Tomorrow,1997,https://letterboxd.com/film/from-today-until-tomorrow/,4
2017-07-15,In the Mouth of Madness,1994,https://letterboxd.com/film/in-the-mouth-of-madness/,3.5
2017-07-15,Flesh and the Devil,1926,https://letterboxd.com/film/flesh-and-the-devil/,4
2017-07-15,Edward and Caroline,1951,https://letterboxd.com/film/edward-and-caroline/,3
2017-07-15,The Furies,1950,https://letterboxd.com/film/the-furies/,3.5
2017-07-15,The Fury of a Patient Man,2016,https://letterboxd.com/film/the-fury-of-a-patient-man/,3
2017-07-15,Hurry Sundown,1967,https://letterboxd.com/film/hurry-sundown/,4
2017-07-15,Tartuffe,1925,https://letterboxd.com/film/tartuffe/,4.5
2017-07-15,A Corner in Wheat,1909,https://letterboxd.com/film/a-corner-in-wheat/,4
2017-07-15,The Death of Empedocles,1987,https://letterboxd.com/film/the-death-of-empedocles/,3.5
2017-07-15,A Quiet Passion,2016,https://letterboxd.com/film/a-quiet-passion/,3.5
2017-07-15,Fortini/Cani,1976,https://letterboxd.com/film/fortini-cani/,4
2017-07-15,Jackals and Arabs,2011,https://letterboxd.com/film/jackals-and-arabs/,3.5
2017-07-15,Antoine and Antoinette,1947,https://letterboxd.com/film/antoine-and-antoinette/,3.5
2017-07-15,Duchess of Warsaw,2015,https://letterboxd.com/film/duchess-of-warsaw/,4
2017-07-15,Rendezvous in July,1949,https://letterboxd.com/film/rendezvous-in-july/,3
2017-07-15,Othon,1970,https://letterboxd.com/film/othon/,4.5
2017-07-15,Class Relations,1984,https://letterboxd.com/film/class-relations/,4.5
2017-07-15,Moses and Aaron,1975,https://letterboxd.com/film/moses-and-aaron/,4
2017-07-15,Introduction to Arnold Schoenberg's Accompaniment to a Cinematic Scene,1973,https://letterboxd.com/film/introduction-to-arnold-schoenbergs-accompaniment-to-a-cinematic-scene/,3.5
2017-07-15,Young and Innocent,1937,https://letterboxd.com/film/young-and-innocent/,3.5
2017-07-15,Sound Test for Blackmail,1929,https://letterboxd.com/film/sound-test-for-blackmail/,2.5
2017-07-15,History Lessons,1972,https://letterboxd.com/film/history-lessons-1972/,4
2017-07-15,Every Revolution Is a Throw of the Dice,1977,https://letterboxd.com/film/every-revolution-is-a-throw-of-the-dice/,4
2017-07-15,Peter Lorre - The Double Face,1986,https://letterboxd.com/film/peter-lorre-the-double-face/,3.5
2017-07-15,De Palma,2015,https://letterboxd.com/film/de-palma/,2.5
2017-07-15,Not Reconciled,1965,https://letterboxd.com/film/not-reconciled/,4
2017-07-15,Machorka-Muff,1963,https://letterboxd.com/film/machorka-muff/,3.5
2017-07-15,Elle,2016,https://letterboxd.com/film/elle/,4
2017-07-15,Communists,2014,https://letterboxd.com/film/communists/,4
