Date,Name,Year,Letterboxd URI,Rating
2017-07-15,The Unspeakable Act,2012,https://letterboxd.com/film/the-unspeakable-act/,4
2017-07-15,Rosalinda,2010,https://letterboxd.com/film/rosalinda/,3.5
2017-07-15,They All Lie,2009,https://letterboxd.com/film/they-all-lie/,4
2017-07-15,Panke,2016,https://letterboxd.com/film/panke/,3
2017-07-15,Le Nain,1912,https://letterboxd.com/film/le-nain/,3.5
2017-07-15,The Heart and the Money,1912,https://letterboxd.com/film/the-heart-and-the-money/,3
2017-07-15,Tragic Error,1913,https://letterboxd.com/film/tragic-error/,3.5
2017-07-15,A Star Is Born,1954,https://letterboxd.com/film/a-star-is-born-1954/,4.5
2017-07-15,The Love Witch,2016,https://letterboxd.com/film/the-love-witch/,2
2017-07-15,Hermia & Helena,2016,https://letterboxd.com/film/hermia-helena/,4
2017-07-15,Long Live the Mistress!,1947,https://letterboxd.com/film/long-live-the-mistress/,2.5
2017-07-15,"The Trust, or The Battles for Money",1911,https://letterboxd.com/film/the-trust-or-the-battles-for-money/,3.5
2017-07-15,A Roman Orgy,1911,https://letterboxd.com/film/a-roman-orgy/,3
2017-07-15,Jimmy Pulls The Trigger,1912,https://letterboxd.com/film/jimmy-pulls-the-trigger/,3
2017-07-15,The Defect,1911,https://letterboxd.com/film/the-defect/,3.5
2017-07-15,The Nativity,1910,https://letterboxd.com/film/the-nativity-1910/,3
2017-07-15,Spring,2014,https://letterboxd.com/film/spring-2014/,2.5
2017-07-15,Custody of the Child,1909,https://letterboxd.com/film/custody-of-the-child/,3.5
2017-07-15,The Fairy of the Surf,1909,https://letterboxd.com/film/the-fairy-of-the-surf/,3
2017-07-15,A Very Fine Lady,1908,https://letterboxd.com/film/a-very-fine-lady/,2.5
2017-07-15,The Colonel's Account,1907,https://letterboxd.com/film/the-colonels-account/,3
2017-07-15,Four Sons,1928,https://letterboxd.com/film/four-sons/,4
2017-07-15,Sink or Swim,1990,https://letterboxd.com/film/sink-or-swim/,3.5
2017-07-15,I Can't Sleep,1994,https://letterboxd.com/film/i-cant-sleep/,4.5
2017-07-15,Fists in the Pocket,1965,https://letterboxd.com/film/fists-in-the-pocket/,4
2017-07-15,Diplomatic Courier,1952,https://letterboxd.com/film/diplomatic-courier/,3.5
2017-07-15,Devil in the Flesh,1986,https://letterboxd.com/film/devil-in-the-flesh-1986/,4
2017-07-15,Simone Barbes or Virtue,1980,https://letterboxd.com/film/simone-barbes-or-virtue/,3.5
2017-07-15,The Witches' Sabbath,1988,https://letterboxd.com/film/the-witches-sabbath/,3.5
2017-07-15,A Dragon Arrives!,2016,https://letterboxd.com/film/a-dragon-arrives/,1.5
2017-07-15,The Real Glory,1939,https://letterboxd.com/film/the-real-glory/,4
2017-07-15,Antiporno,2016,https://letterboxd.com/film/antiporno/,2
2017-07-15,Cry When It Happens,2010,https://letterboxd.com/film/cry-when-it-happens/,4
2017-07-15,025 Sunset Red,2016,https://letterboxd.com/film/025-sunset-red/,4.5
2017-07-15,Broken Tongue,2014,https://letterboxd.com/film/broken-tongue/,3.5
2017-07-15,Fate,1994,https://letterboxd.com/film/fate-1994/,1
2017-07-15,Riddles of the Sphinx,1977,https://letterboxd.com/film/riddles-of-the-sphinx-1977/,4
