Date,Name,Year,Letterboxd URI,Rating,tmdb_type,tmdb_id
2017-07-15,Jaguar,1967.0,https://boxd.it/54KQ,3.5,movie,162987
2017-07-15,Maioria Absoluta,1964.0,https://boxd.it/aydi,3.0,movie,324446
2017-07-15,Little Fugitive,1953.0,https://boxd.it/ywO,4.0,movie,52620
2017-07-15,Barbary Coast,1935.0,https://boxd.it/2DLI,4.0,movie,76499
2017-07-15,State of the Union,1948.0,https://boxd.it/1eQG,3.0,movie,33792
2017-07-15,After the Storm,2016.0,https://boxd.it/d0HY,2.5,movie,374671
2017-07-15,An Ideal Husband,1947.0,https://boxd.it/1gSk,3.5,movie,32596
2017-07-15,The Wedding Night,1935.0,https://boxd.it/1hWs,4.0,movie,32004
2017-07-15,I'd Climb the Highest Mountain,1951.0,https://boxd.it/2dOc,3.5,movie,68238
2017-07-15,Water for Maya,2000.0,https://boxd.it/54T4,4.0,movie,163083
2017-07-15,Chumlum,1963.0,https://boxd.it/3Dl8,3.0,movie,107551
2017-07-15,Lifelines,1960.0,https://boxd.it/bWcg,3.5,movie,354265
2017-07-15,Cat's Cradle,1959.0,https://boxd.it/3mQI,4.0,movie,97509
2017-07-15,Bridges-Go-Round,1958.0,https://boxd.it/55aE,4.0,movie,163230
2017-07-15,The Potted Psalm,1946.0,https://boxd.it/54Um,3.5,movie,163102
2017-07-15,Visual Variations on Noguchi,1945.0,https://boxd.it/6p2s,3.0,movie,215052
2017-07-15,The Last Bolshevik,1993.0,https://boxd.it/3ot2,4.0,movie,98498
2017-07-15,The Idea of a Lake,2016.0,https://boxd.it/emWe,3.5,movie,408198
2017-07-15,Divine Horsemen: The Living Gods of Haiti,1985.0,https://boxd.it/15ye,3.5,movie,38638
2017-07-15,Witch's Cradle,1944.0,https://boxd.it/KLm,4.0,movie,47425
2017-07-15,A Study in Choreography for Camera,1945.0,https://boxd.it/3xWi,3.5,movie,104378
2017-07-15,Ritual in Transfigured Time,1946.0,https://boxd.it/3Af2,4.0,movie,105711
2017-07-15,The Very Eye of Night,1958.0,https://boxd.it/3A1E,3.5,movie,105577
2017-07-15,Yourself and Yours,2016.0,https://boxd.it/et1a,4.0,movie,410678
2017-07-15,The Clay Pigeon,1949.0,https://boxd.it/1bHw,3.0,movie,35923
2017-07-15,Alice Adams,1935.0,https://boxd.it/TkO,3.0,movie,43886
2017-07-15,Days of Hope,1939.0,https://boxd.it/6wUw,4.0,movie,219924
2017-07-15,Mr. Klein,1976.0,https://boxd.it/jgw,3.0,movie,58925
2017-07-15,The Last Wagon,1956.0,https://boxd.it/QLM,3.5,movie,44921
2017-07-15,Sexperiencias,1968.0,https://boxd.it/7Czw,4.0,movie,258051
2017-07-15,Christopher Strong,1933.0,https://boxd.it/180E,4.0,movie,37581
