Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2017-08-19,Twelve O'Clock High,1949,https://letterboxd.com/danielquinn/film/twelve-oclock-high/,3.5,,,2017-08-18
2017-08-19,The Wildcat,1921,https://letterboxd.com/danielquinn/film/the-wildcat/,3,,,2017-08-18
2017-08-19,The Power of Speech,1988,https://letterboxd.com/danielquinn/film/the-power-of-speech-1988/,4,,,2017-08-18
2017-08-19,The Blue Sky Maiden,1957,https://letterboxd.com/danielquinn/film/the-blue-sky-maiden/,3.5,,,2017-08-18
2017-08-19,Our Summer Made Her Light Escape,2013,https://letterboxd.com/danielquinn/film/our-summer-made-her-light-escape/,4,,,2017-08-19
2017-08-20,Lazybones,1925,https://letterboxd.com/danielquinn/film/lazybones/,4,,,2017-08-19
2017-08-20,The Nail,1944,https://letterboxd.com/danielquinn/film/the-nail-1944/,3,,,2017-08-19
2017-08-20,The Beguiled,2017,https://letterboxd.com/danielquinn/film/the-beguiled-2017/,3,,,2017-08-19
2017-08-20,Nunca pasa nada,1963,https://letterboxd.com/danielquinn/film/nunca-pasa-nada/,3.5,,,2017-08-19
2017-08-21,Course Completed,1987,https://letterboxd.com/danielquinn/film/course-completed/,3,,,2017-08-20
2017-08-21,Red Line 7000,1965,https://letterboxd.com/danielquinn/film/red-line-7000/,4,,,2017-08-20
2017-08-21,Red Army/PFLP: Declaration of World War,1971,https://letterboxd.com/danielquinn/film/red-army-pflp-declaration-of-world-war/,3.5,,,2017-08-20
2017-08-21,Till We Meet Again,1944,https://letterboxd.com/danielquinn/film/till-we-meet-again-1944/,4,,,2017-08-20
2017-08-22,The River,1929,https://letterboxd.com/danielquinn/film/the-river-1929-1/,3.5,,,2017-08-21
2017-08-22,Strange Cargo,1940,https://letterboxd.com/danielquinn/film/strange-cargo/,3,,,2017-08-21
2017-08-22,Liliom,1930,https://letterboxd.com/danielquinn/film/liliom-1930/,3.5,,,2017-08-21
2017-08-22,Bad Girl,1931,https://letterboxd.com/danielquinn/film/bad-girl/,4,,,2017-08-21
2017-08-23,Street Angel,1928,https://letterboxd.com/danielquinn/film/street-angel/,4,,,2017-08-22
2017-08-23,Dodge City,1939,https://letterboxd.com/danielquinn/film/dodge-city/,3.5,,,2017-08-22
2017-08-23,Jubal,1956,https://letterboxd.com/danielquinn/film/jubal/,4.5,,,2017-08-22
2017-08-23,Jacquot de Nantes,1991,https://letterboxd.com/danielquinn/film/jacquot-de-nantes/,3.5,,,2017-08-22
2017-08-24,Katzelmacher,1969,https://letterboxd.com/danielquinn/film/katzelmacher/,4,,,2017-08-23
2017-08-24,From Hell to Texas,1958,https://letterboxd.com/danielquinn/film/from-hell-to-texas/,3.5,,,2017-08-23
2017-08-24,Repast,1951,https://letterboxd.com/danielquinn/film/repast/,4,,,2017-08-23
2017-08-25,The Last Command,1928,https://letterboxd.com/danielquinn/film/the-last-command/,3.5,,,2017-08-24
2017-08-25,Morocco,1930,https://letterboxd.com/danielquinn/film/morocco/,3,,,2017-08-24
2017-08-25,Nora Prentiss,1947,https://letterboxd.com/danielquinn/film/nora-prentiss/,3,,,2017-08-24
2017-08-26,The Anthem,2006,https://letterboxd.com/danielquinn/film/the-anthem/,3,,,2017-08-25
2017-08-26,Vampire,2008,https://letterboxd.com/danielquinn/film/vampire-2008/,3.5,,,2017-08-25
2017-08-26,Phantoms of Nabua,2009,https://letterboxd.com/danielquinn/film/phantoms-of-nabua/,3.5,,,2017-08-25
2017-08-26,Ashes,2012,https://letterboxd.com/danielquinn/film/ashes-2012/,3,,,2017-08-25
2017-08-26,Mekong Hotel,2012,https://letterboxd.com/danielquinn/film/mekong-hotel/,3,,,2017-08-25
2017-08-26,Garden of Evil,1954,https://letterboxd.com/danielquinn/film/garden-of-evil/,3,,,2017-08-25
